Date,Open,High,Low,Close,Volume,Market Cap
28-11-2022,16440.222087898794,16482.933543310384,16054.53021534078,16217.322467641055,27743025156.05,311686396568.46
27-11-2022,16463.883171590274,16594.405472441995,16437.02533441152,16444.626834548457,20443898508.94,316040534591.72
26-11-2022,16521.577024910126,16666.862927005834,16416.228690260028,16464.281079365555,18000008764.22,316404791284.87
25-11-2022,16602.269516497403,16603.31699288261,16388.40495351409,16521.84101896077,18678255975.67,317499392769.32
24-11-2022,16611.637672358618,16771.47524317893,16501.76805488462,16604.46501795427,26129037414.48,319074189335.14
23-11-2022,16195.588669774414,16638.19248653868,16170.502495775037,16610.7064149352,32958875628.23,319180537510.23
22-11-2022,15782.301230536288,16253.047746702146,15656.606060116139,16189.769531934091,30726828760.3,311078520948.59
21-11-2022,16291.223799578982,16291.223799578982,15599.047175382899,15787.284094521752,37429485517.93,303332140406.92
20-11-2022,16712.920458367662,16746.780157269564,16248.692829299347,16291.8324676929,21313378651.69,313012826679.9
19-11-2022,16696.219905182574,16797.87699736105,16570.410748351132,16711.547793796504,16106223491.51,321061621175.61
18-11-2022,16687.911575071244,16947.05840111188,16564.61168003081,16697.77766778654,26862218608.57,320781106962.52
17-11-2022,16670.426756200326,16726.438844788194,16460.68348704278,16687.51795054106,27868914021.95,320570440520.86
16-11-2022,16884.341187944265,16960.29517836233,16430.111281780155,16669.44014477405,33925512988.62,320208159886.93
15-11-2022,16617.484737989726,17051.96196720474,16542.55126721595,16884.613907054605,36599436182.62,324326299579.98
14-11-2022,16352.028563420386,17109.323354054974,15872.941612674758,16618.199228890797,49630243054.06,319192915033.18
13-11-2022,16799.722291055714,16920.766400155015,16320.635153276064,16353.365717176099,27209183682.26,314093257178.25
12-11-2022,17036.875408441774,17066.675491252296,16651.774769724314,16799.184738399876,29717699419.42,322642084634.09
11-11-2022,17583.252430510052,17650.94405254207,16543.482390135327,17034.29313471333,55871616488.33,327139766936.22
10-11-2022,15883.15822691518,18054.311779066138,15834.018093252147,17586.77144954725,83202283720.96,337735690619.8
09-11-2022,18543.761249619893,18590.459569580897,15682.692842780652,15880.779849172332,102905151606.28,304958504278.2
08-11-2022,20600.67274715879,20664.60652029959,17603.54436900462,18541.271853223814,118992465606.57,356030188152.67
07-11-2022,20924.62048404909,21053.246149529263,20489.973343695598,20602.816725269906,53510852236.18,395596352770.07
06-11-2022,21285.056663911386,21345.37679278884,20920.19068403618,20926.485973821505,35082693210.3,401792318391.34
05-11-2022,21144.83146578881,21446.886096690843,21097.635417108453,21282.69129591641,37846047609.23,408613690153.42
04-11-2022,20208.7694981217,21209.561042305395,20188.0187146493,21147.229732238487,64072727949.72,405992446610.67
03-11-2022,20162.689227896553,20382.096320645098,20086.24090339057,20209.987415003863,43228750179.43,387983112928.37
02-11-2022,20482.959693755372,20742.811011066202,20087.134483620648,20159.503067104524,55552169483.42,386993271473.89
01-11-2022,20494.897622939236,20647.289720357683,20359.845479716354,20485.273243090294,39819303159.15,393230695987.89
31-10-2022,20633.696071095317,20795.321223177747,20287.459087988613,20495.774232032527,45668466815.41,393413045572.67
30-10-2022,20817.982251842404,20917.006239851922,20547.46342477446,20635.603747684276,31486345555.64,396075135322.21
29-10-2022,20595.103841969667,20988.394470423613,20566.484616724767,20818.47616443884,40369840645.23,399567972100.27
28-10-2022,20287.956094786256,20724.98029964302,20086.06823011306,20595.35193660123,43994715910.3,395266756395.28
27-10-2022,20772.803027102687,20854.044215933114,20255.373144335506,20285.836775701682,49625110402.03,389306507854.33
26-10-2022,20092.23718809519,20938.133812687523,20076.11777157532,20770.441271629403,58895950537.09,398588922090.83
25-10-2022,19344.96442021395,20348.41158417784,19261.44712585322,20095.85645544717,47761524909.94,385624152241.56
24-10-2022,19567.769580384924,19589.124575528083,19206.324306708124,19345.57234828513,30202235804.59,371211779873.32
23-10-2022,19207.734650775248,19646.651541546595,19124.19696484497,19567.00739805294,22128794335.13,375444263357.02
22-10-2022,19172.380608580974,19248.067672211775,19132.243193413342,19208.190246004346,16104440957.47,368541303588.26
21-10-2022,19053.203045616505,19237.385606151693,18770.97006051153,19172.46921726924,32459287865.69,367839754255.23
20-10-2022,19138.08505687014,19315.19896864566,18971.458649274926,19053.740240536765,24493974419.53,365543015077.49
19-10-2022,19335.02644145188,19348.416809620576,19127.688369957425,19139.534351389357,22425387183.91,367171621206.39
18-10-2022,19550.466742932043,19666.995005967685,19144.770176278835,19334.41514998285,30580012344.21,370891718468.24
17-10-2022,19268.562102307453,19635.802281363132,19173.33472358563,19550.75729991318,27472552998.34,375024092833.74
16-10-2022,19068.91355993786,19389.6035200638,19068.91355993786,19268.092800861934,17988916650.36,369584293835.81
15-10-2022,19185.437303811446,19212.54160761659,19019.250125219165,19067.635082288427,16192235531.97,365722351004.5
14-10-2022,19382.53397217804,19889.146270975412,19115.407318499372,19185.65670032703,38452356726.7,367967465552.59
13-10-2022,19156.96661332697,19453.32797149125,18319.822629614115,19382.904033633087,44219840003.89,371731749298.26
12-10-2022,19052.64578600759,19203.198651051654,19029.758329129058,19157.446286852537,24950173846.05,367391447229.96
11-10-2022,19138.999877483147,19241.96023569531,18925.603221817615,19051.41826947727,28711532910.3,365340817941.08
10-10-2022,19446.416225133773,19515.467287660194,19102.979239623415,19141.483505012173,27425022773.59,367049182259.43
09-10-2022,19417.479411166132,19542.538653542095,19349.25895339935,19446.426194132677,16837262532.25,372876821416.38
08-10-2022,19546.328837739784,19601.695455117493,19299.41361902811,19416.567849523348,16437423166.71,372284398575.26
07-10-2022,19957.55908041741,20041.085579829185,19395.79324021193,19546.849710149883,29227315390.11,374761116006.47
06-10-2022,20161.03843820979,20408.391839881628,19900.088532978476,19955.443672368598,34711412966.17,382574032285.78
05-10-2022,20335.899579376473,20343.748520269062,19801.800661202462,20160.716171606804,33223790572.36,386489739242.67
04-10-2022,19623.584689448744,20380.344182520283,19523.840123958253,20336.842949206013,35887278684.83,389843287588.34
03-10-2022,19044.067849811498,19653.542952904896,19025.226285446846,19623.580334555998,30484729488.71,376151028151.32
02-10-2022,19311.848708225836,19370.309280933485,18970.620583252872,19044.107272371097,20765955327.49,365024821953.69
